ID,Country ,Keyword1 ,Keyword2,Keyword3,Attractions,Summary,weather
18,Waikato ,Adventurous,Scenic Views,Wildlife,"Raglan,Ngaruawahia,Miranda,Huntly","One of the richest agricultural and pastoral areas of the world,the Waikato is home to New Zealand's famous dairy and thoroughbred horse racing industries and base for many agri-businesses and research institutes.Home to massive underground caves, lush rainforest and the buzzy city of Hamilton.",https://www.bbc.co.uk/weather
19,Mbombela,Adventurous,Scenic Views,Wildlife,"Lowveld National Botanical Garden,Barberton Makhonjwa Geotrail,Sabie Waterfalls","Mbombela, formerly Nelspruit, is the capital of South Africa’s Mpumalanga Province. It’s a gateway to Kruger National Park, home to elephants, zebras, rhinos and other wildlife. The city’s Lowveld National Botanical Garden features a man-made rainforest. Northwest are the prehistoric Sudwala Caves, with unusual rock formations.",https://www.bbc.co.uk/weather
20,Maldives ,Island,Culture,Beaches,"Male ñ capital of the Maldives,Banana reef,Artificial beach,National museum,Hulhumale","A tropical nation located in the indian ocean,Made up of more than 1,000 coral islands,Luxurious hotel resorts,White sandy beaches,Underwater villas,Known for their natural environment, white beaches etc..Can get engaged in water sports such as: swimming, fishing, scuba diving, snorkelling, water skiing, windsurfing and kite boarding",https://www.bbc.co.uk/weather
21,Havana ,Romantic,Culture,Beaches,"Necrópolis Cristóbal Colón,Malecon,El capitolio,Castillo De Los Tres Reyes Del Morro","Havana’s a city of opposites. You’ll see classic American cars from the 40s and 50s cruising past modern beach resorts and shopping centres.The rustic cathedrals and churches in Havana’s old town are within walking distance of bustling, narrow streets full of pastel-coloured bars, clubs and restaurants.Along with the historic buildings and bar-loaded promenades, you’ll find long, white-sand beaches that stretch off into the distance.",https://www.bbc.co.uk/weather
22,Tokyo ,Shopping,Scenic Views,Culture,"Tokyo skytree,Senso-ji,Imperial palace,Odaiba","Tokyo offers a seemingly unlimited choice of shopping, entertainment, culture and dining to its visitors.The city's history can be appreciated in districts such as Asakusa and in many excellent museums, historic temples and gardens.Japan is home to more than a dozen UNESCO World Heritage sites and is the birthplace of sushi, one of its most famous.",https://www.bbc.co.uk/weather
23,New York ,Adventurous,Scenic Views,Culture,"Empire State Building,Brooklyn Bridge,Central Park","New York City comprises 5 boroughs sitting where the Hudson River meets the Atlantic Ocean. At its core is Manhattan, a densely populated borough that’s among the world’s major commercial, financial and cultural centers. ",https://www.bbc.co.uk/weather
24,Antarctica ,Adventurous,Sightseeing,Wildlife,"Deception island,South Shetland islands,Elephant island,Antarctic Great Wall station","An expedition to Antarctica is the ultimate wilderness adventure, exploring a pristine area navigable only by small ice-strengthened vessels.Magnificent glaciers, staggeringly beautiful icebergs, epic mountains and an abundance of wildlife all contribute to the allure of Antarctica.Surrounded by the turbulent Southern Ocean, it comprises an isolated land mass shrouded in ice and snow. The world’s windiest, coldest and driest continent is also breathtakingly beautiful.",https://www.bbc.co.uk/weather
25,Paris ,Romantic,Scenic Views,Culture,"Eiffel Tower,Louvre Museum,Cathedrale notre dame de paris,Arc de Triomphe,Chateau de Versailles ","Capital of France ,one of the most iconic cities in the world,Many famous landmarks,Popular tourist destination,Received 24.5 million visitors in 2018,Has many monuments,Known as city of light",https://www.bbc.co.uk/weather
26,Bali ,Island,Shopping,Beaches,"Meduwe Karang Temple,Alas Kedaton Monkey Forest,Pandawa Beach,Bali Spirit Festival,Pasir Putih Beach,Gitgit waterfall,Manta Point,Taman Ujung Water Palace","Bali is an Indonesian island known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs. The island is home to religious sites such as cliffside Uluwatu Temple. To the south,the beachside city of Kuta has lively bars, while Seminyak, Sanur and Nusa Dua are popular resort towns. The island is also known for its yoga and meditation retreats.",https://www.bbc.co.uk/weather
27,New Orleans ,Adventurous,Culture,Shopping,"Cathedral,National WW2 Museum,Louis Armstrong Park","New Orleans is a Louisiana city on the Mississippi River, near the Gulf of Mexico. Nicknamed the ""Big Easy,"" it's known for its round-the-clock nightlife, vibrant live-music scene and spicy, singular cuisine reflecting its history as a melting pot of French, African and American cultures. Embodying its festive spirit is Mardi Gras, the late-winter carnival famed for raucous costumed parades and street parties.",https://www.bbc.co.uk/weather
28,Kerry,Island,Beaches,Scenic Views,"Ballybunion,Killarney Lakes and National Park,Torc Waterfall,Carrauntoohil and the McGillcuddy Reeks,Valentia Island,Kenmare,The Ring of Kerry,Skelling Michael,Ladies View,The Dingle Peninsula","County Kerry, in the peninsular southwest region of Ireland, is known for its pockets of Irish-language speakers and striking terrain. Passing rugged coastline and mountains, the Ring of Kerry is a popular scenic driving route skirting the edges of the Iveragh Peninsula. Within Killarney National Park’s 10,000-hectare limits are trails through forests, moorland and to landmarks like Torc Waterfall and Torc Mountain.",https://www.bbc.co.uk/weather
29,Marrakech,Shopping,Sightseeing,Culture,"Jama El F’na Market,Jardi Majorelle,Koutoubia,Saadien’s Tombs,Bahia Palace,El Badii Palace,Menara Gardens,Medina of Marrakesh,Bab Agnaou,Souks","Marrakesh, a former imperial city in western Morocco, is a major economic center and home to mosques, palaces and gardens. The medina is a densely packed, walled medieval city dating to the Berber Empire, with mazelike alleys where thriving souks (marketplaces) sell traditional textiles, pottery and jewelry. A symbol of the city, and visible for miles, is the Moorish minaret of 12th-century Koutoubia Mosque.",https://www.bbc.co.uk/weather
30,Sydney ,Beaches,Wildlife,Scenic Views,"Harbour Bridge,Opera House,Bondi Beach,Port Jackson Bay,Taronga Zoo Sydney,Royal Botanic Gardens,Cicular Quay,Featherdale Sydney Wildlife Park,Cockatoo Island,Museums","Sydney, capital of New South Wales and one of Australia's largest cities, is best known for its harbourfront Sydney Opera House, with a distinctive sail-like design. Massive Darling Harbour and the smaller Circular Quay port are hubs of waterside life, with the arched Harbour Bridge and esteemed Royal Botanic Garden nearby. Sydney Tower’s outdoor platform, the Skywalk, offers 360-degree views of the city and suburbs.",https://www.bbc.co.uk/weather
31,Barbados ,Beaches,Sightseeing,Wildlife,"The beaches of Carlisle Bay,Downtown Bridgetown,Bathsheba Bay,Animal Flower Cave,St. Nicholas Abbey,Crane Beach,Barbados Wildlife Reserve,Farley Hill National Park,St. Lawrence Gap","Barbados is known as 'the land of the flying fish' and that it is one half of the country's national dish,With plenty of golf courses, historic homes and sporting events, Barbados is an ideal vacation spot for active travelers. Barbados is pretty safe by Caribbean standards.Barbados also has lots to see and do - you should make time to visit the wild, wave-pummelled east coast and a plantation house or two hidden among the sugar cane fields of the interior. Visitors say Barbadian’s friendliness is best thing about the island.",https://www.bbc.co.uk/weather
32,Amsterdam ,Shopping,Adventures,Culture,"The Rijksmuseum,The Anne Frank Museum,The Van Gogh Museum,The Jordaan (neighborhood), Vondelpark","Amsterdam is famous for its canals, beautiful houses, 'coffee' shops and Red Light District.Amsterdam regularly comes out on top in lists of the world’s most cycle-friendly cities.Amsterdam is one of the most watery cities in the world, with a quarter of its surface area taken up by canals and harbors.",https://www.bbc.co.uk/weather
33,Santiago ,Shopping,Scenic Views,Culture,"Plaza de Armas,Cerro San Cristóbal,The Markets,La Chascona House",Dynamic and cosmopolitan Santiago is a vital and versatile city.Home to many events showcasing the very best of Chilean culture.The city’s diversity shines through in its many contrasting neighborhoods.,https://www.bbc.co.uk/weather
34,Cairo ,Adventurous,Romantic ,Culture,"Pyramids of Giza,Great Sphinx,Saqqara,Grand Egyptian Museum,Khan Al-Khalili Bazaar,Al-Azhar Mosque,The Hanging Church","Cairo is famous for its own history, preserved in the fabulous medieval Islamic city and Coptic sites in Old Cairo.Romantically known as the City of a Thousand Minarets, the Egyptian capital is a place of extremes, filled with ancient landmarks, snarling traffic, ornate mosques, and glittering modern skyscrapers.No visit to Cairo would be complete without a day trip to the Pyramids of Giza, perhaps the most famous ancient site in all of Egypt.Egypt boasts of one of the most iconic landmarks in the world - the Great Pyramid at Giza.",https://www.bbc.co.uk/weather
35,Copenhagen ,Romantic,Sightseeing,Culture,"Tivoli Gardens,The Little Mermaid,Rosenborg Castle,Nyhavn,Church of Our Savior","Copenhagen is a unique city, characterized by its canals, cycling culture, strong economy, and happy locals. Copenhagen is home to excellent Danish cuisine, a magnificent transportation system, stunning churches and museum.Danish cuisine is some of the best in the world, and Copenhagen offers an array of cooking classes and food tours, an essential outing for foodie travelers.Renting a bike and riding around Copenhagen is a must, and a trip to the Danish capital wouldn't really be complete without doing so.",https://www.bbc.co.uk/weather
